city,lat,lng,country,population
Angra do Heroísmo,38.6504,-27.2167,Portugal,12045
Santarém,39.231,-8.682,Portugal,29385
Horta,38.5347,-28.6448,Portugal,6611
Ponta Delgada,37.7483,-25.6666,Portugal,61526
Porto,41.15,-8.62,Portugal,1337000
Faro,37.0171,-7.9333,Portugal,41355
Vila Real,41.294,-7.737,Portugal,17001
Aveiro,40.641,-8.651,Portugal,54162
Guarda,40.541,-7.262,Portugal,32111
Viseu,40.657,-7.91,Portugal,26364
Bragança,41.808,-6.755,Portugal,34375
Viana Do Castelo,41.6962,-8.8441,Portugal,15555
Braga,41.555,-8.4213,Portugal,826833
Beja,38.014,-7.863,Portugal,35854
Castelo Branco,39.811,-7.488,Portugal,33479
Portalegre,39.29,-7.423,Portugal,15581
Coimbra,40.2004,-8.4167,Portugal,106582
Leiria,39.739,-8.805,Portugal,45112
Covilhã,40.2833,-7.5,Portugal,24828
Portimão,37.1337,-8.5333,Portugal,61226
Västerås,59.63,16.54,Sweden,107194
Uppsala,59.85,17.6333,Sweden,
Örebro,59.2803,15.22,Sweden,98573
Östersund,63.1833,14.65,Sweden,46178
Karlstad,59.3671,13.4999,Sweden,74141
Nyköping,58.764,17.015,Sweden,27582
Göteborg,57.75,12,Sweden,537797
Halmstad,56.6718,12.8556,Sweden,55657
Linköping,58.41,15.6299,Sweden,96732
Jönköping,57.7713,14.165,Sweden,89780
Kalmar,56.667,16.3666,Sweden,35024
Gävle,60.667,17.1666,Sweden,68635
Malmö,55.5833,13.0333,Sweden,269349
Växjö,56.8837,14.8167,Sweden,59600
Luleå,65.5966,22.1584,Sweden,48638
Stockholm,59.3508,18.0973,Sweden,1264000
Karlskrona,56.203,15.296,Sweden,35212
Falun,60.613,15.647,Sweden,36477
Härnösand,62.634,17.934,Sweden,17016
Uppsala,59.8601,17.64,Sweden,133117
Umeå,63.83,20.24,Sweden,78197
Kiruna,67.85,20.2166,Sweden,18154
Helsingborg,56.0505,12.7,Sweden,91304
Skellefteå,64.7721,20.95,Sweden,31311
Bollnäs,61.352,16.3666,Sweden,13398
Trollhättan,58.2671,12.3,Sweden,44543
Örnsköldsvik,63.318,18.7167,Sweden,27749
Sundsvall,62.4001,17.3167,Sweden,73389
Norrköping,58.5954,16.1787,Sweden,88639
Vannersborg,58.363,12.33,Sweden,21835
Borås,57.7304,12.92,Sweden,65008
Kristianstad,56.0337,14.1333,Sweden,32188
Borlänge,60.4833,15.4167,Sweden,39422
Mariestad,58.705,13.828,Sweden,14891
Visby,57.6337,18.3,Sweden,22593
Singapore,1.293,103.8558,Singapore,5183700
Isparta,37.77,30.53,Turkey,172334
Sivas,39.7454,37.035,Turkey,264022
Kilis,36.7204,37.12,Turkey,82301
Edirne,41.6704,26.57,Turkey,126470
Bingöl,38.885,40.498,Turkey,80568
Corum,40.52,34.95,Turkey,183418
Iğdır,39.9237,44.045,Turkey,
Batman,37.8904,41.14,Turkey,302074
Rize,41.0208,40.5219,Turkey,279450
Ardahan,41.1087,42.7022,Turkey,
Adıyaman,37.7704,38.2799,Turkey,223744
Bitlis,38.394,42.123,Turkey,62811
Trabzon,40.98,39.72,Turkey,764714
Mardin,37.3115,40.7427,Turkey,71373
Gaziantep,37.075,37.385,Turkey,1044000
Sinop,42.023,35.153,Turkey,34834
Manisa,38.6304,27.44,Turkey,243971
Aydın,37.85,27.85,Turkey,198857
Giresun,40.913,38.39,Turkey,98864
İskenderun,36.5804,36.17,Turkey,297943
Kahramanmaraş,37.61,36.945,Turkey,376045
Adana,36.995,35.32,Turkey,1293000
Osmaniye,37.0742,36.2478,Turkey,
Kayseri,38.735,35.49,Turkey,592840
Samsun,41.28,36.3437,Turkey,609339
Yozgat,39.818,34.815,Turkey,87881
Bafra,41.5682,35.9069,Turkey,97452
Amasya,40.6537,35.833,Turkey,82896
Tokat,40.306,36.563,Turkey,129702
Niğde,37.976,34.694,Turkey,91039
Kırıkkale,39.8504,33.53,Turkey,211138
Burdur,37.7167,30.2833,Turkey,66158
Kırşehir,39.142,34.171,Turkey,94336
Karabük,41.2,32.6,Turkey,128564
Karaman,37.1815,33.215,Turkey,120399
Nevşehir,38.624,34.724,Turkey,75527
Aksaray,38.3725,34.0254,Turkey,
Polatlı,39.5842,32.1472,Turkey,93262
Afyon,38.7504,30.55,Turkey,156992
Kastamonu,41.389,33.783,Turkey,70402
Bolu,40.7363,31.6061,Turkey,96629
Antalya,36.89,30.7,Turkey,783000
Konya,37.875,32.475,Turkey,919000
Çankırı,40.607,33.621,Turkey,71379
Ankara,39.9272,32.8644,Turkey,3716000
Balıkesir,39.6504,27.89,Turkey,261516
Bartın,41.6358,32.3375,Turkey,
Düzce,40.8389,31.1639,Turkey,
Zonguldak,41.4304,31.78,Turkey,156918
Eskişehir,39.795,30.53,Turkey,514869
Adapazarı,40.8,30.415,Turkey,260109
İzmit,40.776,29.9306,Turkey,466504
Yalova,40.655,29.2769,Turkey,
Bilecik,40.15,29.983,Turkey,40285
Istanbul,41.105,29.01,Turkey,10061000
Denizli,37.7704,29.08,Turkey,372344
Muğla,37.2164,28.3639,Turkey,48183
Tekirdağ,40.9909,27.51,Turkey,122287
Kütahya,39.42,29.93,Turkey,185008
Kırklareli,41.743,27.226,Turkey,58223
Uşak,38.6804,29.42,Turkey,152862
Söke,37.7512,27.4103,Turkey,77341
Hatay,36.2304,36.12,Turkey,305564
Malatya,38.3704,38.3,Turkey,461574
Elâzığ,38.68,39.23,Turkey,271492
Artvin,41.183,41.818,Turkey,32272
Şırnak,37.5139,42.4543,Turkey,
Hakkâri,37.5744,43.7408,Turkey,77699
Samandagi,36.1171,35.9333,Turkey,93638
Gümüşhane,40.464,39.484,Turkey,32250
Tunceli,39.1167,39.5333,Turkey,29062
Bayburt,40.2563,40.2229,Turkey,
Erzincan,39.7526,39.4928,Turkey,129407
Ağrı,39.7198,43.0513,Turkey,87854
Muş,38.749,41.4969,Turkey,82536
İzmir,38.4361,27.1518,Turkey,2587000
Van,38.4954,43.4,Turkey,371713
Kars,40.6085,43.0975,Turkey,77486
Diyarbakır,37.9204,40.23,Turkey,644763
Erzurum,39.9204,41.29,Turkey,420691
Lüleburgaz,41.4067,27.3552,Turkey,90899
Bursa,40.2,29.07,Turkey,1492000
Çanakkale,40.1459,26.4064,Turkey,87791
Mersin,36.8004,34.6128,Turkey,
Tarsus,36.9204,34.88,Turkey,894318
Tatvan,38.5066,42.2816,Turkey,73222
Nusaybin,37.075,41.2184,Turkey,152668
Ordu,41.0004,37.8699,Turkey,155117
Siirt,37.944,41.933,Turkey,114034
Ereğli,37.5063,34.0517,Turkey,92117
Şanlıurfa,37.17,38.795,Turkey,449549
Yerevan,40.1812,44.5136,Armenia,1102000
Gyumri,40.7894,43.8475,Armenia,148381
Gavarr,40.3589,45.1267,Armenia,21680
Artashat,39.9539,44.5506,Armenia,20562
Yeghegnadzor,39.7611,45.3333,Armenia,8200
Armavir,40.1545,44.0382,Armenia,
Ijevan,40.8788,45.1485,Armenia,
Hrazdan,40.4941,44.7602,Armenia,
Vanadzor,40.8128,44.4883,Armenia,101098
Ashtarak,40.3017,44.3592,Armenia,18779
Kapan,39.2075,46.4058,Armenia,
Ijevan,40.8756,45.1492,Armenia,14737
Eisenstadt,47.8333,16.5333,Austria,13165
Innsbruck,47.2804,11.41,Austria,155214
Bregenz,47.5167,9.7667,Austria,26928
Salzburg,47.8105,13.04,Austria,206279
Linz,48.3192,14.2888,Austria,349161
Wiener Neustadt,47.816,16.25,Austria,82762
Sankt Pölten,48.2,15.6333,Austria,
Graz,47.0778,15.41,Austria,263234
Klagenfurt,46.6203,14.31,Austria,90610
Vienna,48.2,16.3666,Austria,2400000
Kingoonya,-30.8996,135.3,Australia,50
Port Denison,-29.2828,114.9166,Australia,1213
Cairns,-16.8878,145.7633,Australia,154225
Kwinana,-32.2394,115.7702,Australia,20086
Cranbourne,-38.0996,145.2834,Australia,460491
Port Hedland,-20.3104,118.606,Australia,14288
Port Lincoln,-34.7332,135.8666,Australia,13630
Port Macquarie,-31.445,152.9187,Australia,48547
Port Pirie,-33.1911,137.99,Australia,12506
Portland,-38.34,141.59,Australia,11808
Proserpine,-20.4162,148.5835,Australia,3976
Busselton,-33.6564,115.3487,Australia,10214
Byron Bay,-28.6565,153.6129,Australia,6764
Caboolture,-27.083,152.95,Australia,31513
Cooma,-36.2396,149.12,Australia,6520
Streaky Bay,-32.8119,134.2149,Australia,1060
Sunbury,-37.5696,144.71,Australia,29925
Sydney,-33.92,151.1852,Australia,4630000
Karumba,-17.4833,140.8334,Australia,173
Esperance,-33.8573,121.8889,Australia,7888
Exmouth,-21.9311,114.1233,Australia,1085
Forbes,-33.3896,148.02,Australia,4838
Morawa,-29.2163,116,Australia,259
Moree,-29.4699,149.8301,Australia,8203
Katherine,-14.4666,132.2666,Australia,10141
Katoomba,-33.7069,150.32,Australia,22076
Launceston,-41.4498,147.1302,Australia,72458
Laverton,-28.627,122.404,Australia,316
Leeton,-34.5449,146.3973,Australia,7299
Leonara,-28.8815,121.328,Australia,227
Seymour,-37.0342,145.1273,Australia,3693
Singleton,-32.5695,151.16,Australia,13813
Newcastle,-32.8453,151.815,Australia,1134616
Norseman,-32.2,121.7666,Australia,1004
Batemans Bay,-35.6896,150.2073,Australia,10557
Bathurst,-33.4196,149.57,Australia,6111
Griffith,-34.29,146.04,Australia,15455
Whyalla,-33.025,137.5614,Australia,22559
Wilcannia,-31.5662,143.3833,Australia,442
Katanning,-33.6996,117.5501,Australia,3934
Bongaree,-27.0787,153.1509,Australia,13649
Bordertown,-36.3162,140.7666,Australia,2583
Boulia,-22.8996,139.9,Australia,600
Bourke,-30.1,145.9333,Australia,2475
Mackay,-21.1439,149.15,Australia,75922
Southern Cross,-31.2161,119.3167,Australia,187
Tweed Heads,-28.1826,153.5466,Australia,33065
Ulladulla,-35.3495,150.47,Australia,9250
Victor Harbor,-35.5596,138.6173,Australia,7760
Andamooka,-30.431,137.1656,Australia,528
Hervey Bay,-25.2887,152.8409,Australia,25114
Gunnedah,-30.987,150.2623,Australia,7148
Gympie,-26.1886,152.6709,Australia,11649
Halls Creek,-18.2667,127.7667,Australia,1209
Hamilton,-37.7312,142.0234,Australia,8869
Winton,-22.3996,143.0333,Australia,1157
Mudgee,-32.5896,149.5801,Australia,5391
Ivanhoe,-32.8996,144.3,Australia,265
Pannawonica,-21.6366,116.325,Australia,686
Dubbo,-32.26,148.5973,Australia,31574
Tom Price,-22.6935,117.7931,Australia,2723
Parkes,-33.1296,148.17,Australia,11137
Sale,-38.1096,147.06,Australia,22486
Bendigo,-36.76,144.28,Australia,81657
Berri,-34.2829,140.6,Australia,4716
Adelaide,-34.935,138.6,Australia,1145000
Adelaide River,-13.2495,131.1,Australia,237
Albany,-35.0169,117.8916,Australia,26445
Burketown,-17.7161,139.5666,Australia,200
Burnie,-41.0666,145.9167,Australia,19972
Penola,-37.383,140.8167,Australia,1514
Perth,-31.955,115.84,Australia,1532000
Peterborough,-32.9662,138.8333,Australia,1689
Scone,-32.0796,150.8501,Australia,4624
Scottsdale,-41.1495,147.5167,Australia,2468
Narrabri,-30.3319,149.7874,Australia,7082
Narrogin,-32.9329,117.1666,Australia,4238
Townsville,-19.25,146.77,Australia,138954
Traralgon,-38.1996,146.53,Australia,18226
Central Coast,-33.42,151.3,Australia,3026
Broome,-17.9618,122.2308,Australia,13218
Bunbury,-33.3443,115.6502,Australia,26998
Wyndham,-15.374,128.3601,Australia,800
Yamba,-29.423,153.3533,Australia,1806
Tumby Bay,-34.3829,136.0833,Australia,1791
Forster-Tuncurry,-32.1931,152.5266,Australia,17591
Bundaberg,-24.8791,152.3509,Australia,52472
Yulara,-25.2405,130.9889,Australia,930
Richmond,-33.5995,150.74,Australia,13880
Richmond,-20.7163,143.1333,Australia,296
Rockhampton,-23.3639,150.52,Australia,65850
Roebourne,-20.7829,117.1333,Australia,19260
Roma,-26.5594,148.7907,Australia,5496
Cloncurry,-20.7,140.5,Australia,1202
Cobram,-35.9196,145.65,Australia,4659
Coffs Harbour,-30.3071,153.1123,Australia,62978
Colac,-38.3395,143.58,Australia,9089
Alice Springs,-23.701,133.88,Australia,27710
Ararat,-37.2795,142.91,Australia,6110
Carnarvon,-24.8998,113.6501,Australia,7392
Ceduna,-32.0991,133.6623,Australia,1586
Charleville,-26.4,146.25,Australia,1900
Charters Towers,-20.0809,146.2587,Australia,9573
Kalbarri,-27.6662,114.1667,Australia,1537
Kununurra,-15.7666,128.7333,Australia,5679
Dalby,-27.1939,151.2657,Australia,9847
Lithgow,-33.4961,150.1528,Australia,11128
Manjimup,-34.2333,116.15,Australia,4240
Maitland,-32.721,151.555,Australia,18625
Mandurah,-32.5235,115.7471,Australia,73356
Karratha,-20.7304,116.87,Australia,16796
Gawler,-34.6074,138.7264,Australia,16362
Geelong,-38.1675,144.3956,Australia,160991
Georgetown,-18.3,143.5333,Australia,818
Geraldton,-28.7666,114.6,Australia,27258
Maryborough,-37.0496,143.73,Australia,7046
Maryborough,-25.5491,152.7209,Australia,20678
McMinns Lagoon,-12.5329,131.05,Australia,5025
Toowoomba,-27.5645,151.9555,Australia,92800
Onslow,-21.6576,115.0963,Australia,573
Orange,-33.28,149.1,Australia,39329
Stawell,-37.0596,142.76,Australia,6991
Echuca,-36.1296,144.75,Australia,19457
Eidsvold,-25.3662,151.1333,Australia,459
Emerald,-23.5122,148.1673,Australia,9398
Tamworth,-31.1026,150.9171,Australia,38551
Taree,-31.8976,152.4618,Australia,44182
Ballarat,-37.5596,143.84,Australia,85109
Ballina,-28.8614,153.568,Australia,14242
Barcaldine,-23.5662,145.2834,Australia,1068
Mount Barker,-34.6328,117.6666,Australia,1781
Mount Gambier,-37.8313,140.765,Australia,23209
Mount Isa,-20.7239,139.49,Australia,33200
Mount Magnet,-28.0662,117.8167,Australia,424
Kempsey,-31.0874,152.822,Australia,11840
Queanbeyan,-35.3546,149.2113,Australia,32602
Queenstown,-42.0829,145.55,Australia,2352
Quilpie,-26.6166,144.25,Australia,560
Ravensthorpe,-33.5829,120.0333,Australia,1101
Warrnambool,-38.38,142.47,Australia,29928
Warwick,-28.2292,152.0203,Australia,12347
Weipa,-12.6666,141.8666,Australia,2830
Ouyen,-35.0662,142.3167,Australia,1400
Wollongong,-34.4154,150.89,Australia,260914
Wonthaggi,-38.6095,145.59,Australia,5985
Kiama,-34.7096,150.84,Australia,10379
Kimba,-33.1496,136.4334,Australia,636
Kingaroy,-26.539,151.8406,Australia,8573
Pine Creek,-13.8162,131.8167,Australia,665
Hobart,-42.85,147.295,Australia,80870
Darwin,-12.4254,130.85,Australia,93080
Gingin,-31.3496,115.9,Australia,1446
Meekatharra,-26.6,118.4833,Australia,654
Melbourne,-37.82,144.975,Australia,4170000
Woomera,-31.1496,136.8,Australia,450
Moranbah,-22.0016,148.038,Australia,10000
Port Augusta,-32.49,137.77,Australia,13897
Port Douglas,-16.4846,145.4587,Australia,3000
Gladstone,-23.8533,151.2467,Australia,30489
Gold Coast,-28.0815,153.4482,Australia,527660
Horsham,-36.7096,142.19,Australia,12830
Hughenden,-20.85,144.2,Australia,421
Northam,-31.6566,116.6534,Australia,5855
Nowra,-34.8828,150.6,Australia,94781
Shepparton,-36.3746,145.3914,Australia,33550
Yeppoon,-23.1329,150.7567,Australia,10769
Young,-34.3096,148.29,Australia,7501
Caloundra,-26.8,153.1333,Australia,38706
Ingham,-18.6496,146.1666,Australia,6127
Innisfail,-17.5313,146.0387,Australia,10143
Inverell,-29.7668,151.1126,Australia,8561
Kingston,-42.9911,147.3084,Australia,14371
Kingston South East,-36.8328,139.8501,Australia,206
Clare,-33.8329,138.6,Australia,3061
Bowen,-20.0013,148.2087,Australia,10983
Melton,-37.6895,144.57,Australia,32368
Meningie,-35.6995,139.3333,Australia,1501
Merimbula,-36.8996,149.9,Australia,6367
Merredin,-31.4828,118.2667,Australia,2668
Mildura,-34.185,142.1514,Australia,47867
Thargomindah,-28,143.8167,Australia,203
Theodore,-24.9495,150.0833,Australia,246
Three Springs,-29.5333,115.75,Australia,190
Oatlands,-42.2996,147.3666,Australia,1157
Wagin,-33.2996,117.35,Australia,1598
Armidale,-30.5123,151.6675,Australia,22673
Atherton,-17.2703,145.4694,Australia,6959
Ayr,-19.5702,147.3995,Australia,9078
Bairnsdale,-37.8296,147.61,Australia,11005
Camooweal,-19.9167,138.1167,Australia,187
Canberra,-35.283,149.129,Australia,327700
Longreach,-23.4496,144.25,Australia,2894
Brisbane,-27.455,153.0351,Australia,1860000
Devonport,-41.1927,146.3311,Australia,19317
Wallaroo,-33.9329,137.6333,Australia,2779
Wangaratta,-36.36,146.3,Australia,14022
Cowell,-33.6829,136.9166,Australia,537
Cowra,-33.8296,148.68,Australia,6795
Goondiwindi,-28.5548,150.3253,Australia,4251
Goulburn,-34.7496,149.7102,Australia,20940
Grafton,-29.712,152.9377,Australia,9955
Murray Bridge,-35.1296,139.26,Australia,18194
Muswellbrook,-32.2696,150.89,Australia,11630
Windorah,-25.4332,142.6502,Australia,158
Bedourie,-24.3496,139.4666,Australia,142
Newman,-23.3666,119.7333,Australia,5138
Birdsville,-25.8996,139.3666,Australia,283
Kalgoorlie,-30.7354,121.46,Australia,36852
Biloela,-24.3936,150.4961,Australia,6309
Smithton,-40.8329,145.1167,Australia,4202
Bicheno,-41.8784,148.2886,Australia,177
Deniliquin,-35.5296,144.95,Australia,8024
Broken Hill,-31.95,141.4331,Australia,17395
Swan Hill,-35.3396,143.54,Australia,9276
Albury,-36.06,146.92,Australia,104258
Wagga Wagga,-35.1222,147.34,Australia,55381
Tumut,-35.3096,148.22,Australia,6526
Lismore,-28.8167,153.2931,Australia,31430
Brussels,50.8333,4.3333,Belgium,1743000
Arlon,49.6833,5.8167,Belgium,26179
Antwerpen,51.2204,4.415,Belgium,920000
Brugge,51.2204,3.23,Belgium,146469
Liège,50.63,5.58,Belgium,749110
Hasselt,50.964,5.484,Belgium,69222
Mons,50.446,3.939,Belgium,91277
Gent,51.03,3.7,Belgium,444336
Namur,50.4704,4.87,Belgium,106284
Charleroi,50.4204,4.45,Belgium,345367
Selkirk,50.15,-96.8833,Canada,9986
Trepassey,46.737,-53.3633,Canada,398
Schefferville,54.8,-66.8167,Canada,471
Whitehorse,60.7167,-135.05,Canada,23276
Trout River,49.4837,-58.1166,Canada,452
Yorkton,51.2171,-102.4665,Canada,15172
Antigonish,45.6269,-61.9982,Canada,6739
Gander,48.95,-54.55,Canada,3345
Berens River,52.3666,-97.0333,Canada,892
Port-Menier,49.8226,-64.348,Canada,263
Wetaskiwin,52.9666,-113.3833,Canada,11823
Shamattawa,55.8504,-92.0833,Canada,870
Steinbach,49.5171,-96.6833,Canada,9729
Thunder Bay,48.4462,-89.275,Canada,99334
Oshawa,43.88,-78.85,Canada,450963
Chicoutimi,48.4333,-71.0667,Canada,53940
Melville,50.9333,-102.8,Canada,4279
Brooks,50.5671,-111.9,Canada,14163
Dauphin,51.15,-100.05,Canada,9077
Smithers,54.7666,-127.1666,Canada,6245
Terrace,54.5,-128.5833,Canada,19443
Lutselke,62.4001,-110.7333,Canada,102
Resolute,74.6833,-94.9,Canada,250
Quesnel,52.9837,-122.4833,Canada,13788
Island Lake,53.9666,-94.7666,Canada,10
Halifax,44.65,-63.6,Canada,359111
Watson Lake,60.1166,-128.8,Canada,802
Sydney,46.0661,-60.18,Canada,37538
Dawson Creek,55.767,-120.2333,Canada,10802
Uranium City,59.5666,-108.6166,Canada,89
Timmins,48.4666,-81.3333,Canada,34974
Saskatoon,52.17,-106.67,Canada,198958
Iqaluit,63.7505,-68.5002,Canada,6124
Alert,82.4833,-62.25,Canada,125
Thessalon,46.25,-83.55,Canada,1464
Yellowknife,62.442,-114.397,Canada,19234
Camrose,53.0167,-112.8166,Canada,15808
Campbell River,50.0171,-125.25,Canada,33430
Revelstoke,51.0005,-118.1833,Canada,7668
Meadow Lake,54.1301,-108.4347,Canada,5882
Atikokan,48.7504,-91.6166,Canada,3625
Creston,49.1,-116.5167,Canada,4816
Gillam,56.35,-94.7,Canada,1281
Cranbrook,49.5167,-115.7667,Canada,18610
Little Current,45.967,-81.9333,Canada,1595
Calgary,51.083,-114.08,Canada,1110000
Big Beaver House,52.95,-89.8833,Canada,10
Parry Sound,45.3337,-80.033,Canada,7105
Kamloops,50.6667,-120.3333,Canada,68714
Dolbeau,48.8666,-72.2333,Canada,13337
St. John's,47.585,-52.681,Canada,131469
Lansdowne House,52.2166,-87.8833,Canada,120
Paulatuk,69.3833,-123.9833,Canada,294
Attawapiskat,52.9166,-82.4333,Canada,1802
Rimouski,48.4337,-68.5167,Canada,35584
Grand Prairie,55.1666,-118.8,Canada,41462
La Sarre,48.8,-79.2,Canada,7206
Mingan,50.3018,-64.0173,Canada,588
Prince Albert,53.2,-105.75,Canada,34609
Moose Jaw,50.4,-105.55,Canada,32166
Powell River,49.8837,-124.55,Canada,12779
Pangnirtung,66.1333,-65.75,Canada,1320
Nelson,49.4837,-117.2833,Canada,11779
Peace River,56.2333,-117.2833,Canada,5340
Cobalt,47.3837,-79.6833,Canada,1372
New Glasgow,45.5833,-62.6333,Canada,20322
Arctic Bay,73.0333,-85.1666,Canada,604
Burwash Landing,61.3504,-139,Canada,73
Saint-Georges,46.1171,-70.6667,Canada,26149
Vancouver,49.2734,-123.1216,Canada,2313328
Medicine Hat,50.0333,-110.6833,Canada,63138
Port Hope Simpson,52.5333,-56.3,Canada,197
Deer Lake,49.1744,-57.4269,Canada,4163
Vegreville,53.5,-112.05,Canada,5813
Bella Bella,52.1484,-128.1173,Canada,1400
Rankin Inlet,62.8167,-92.0953,Canada,2472
Owen Sound,44.5666,-80.85,Canada,22625
Lac La Biche,54.7719,-111.9647,Canada,2986
Hopedale,55.45,-60.2167,Canada,442
Norway House,53.9666,-97.8333,Canada,6000
Coral Harbour,64.1538,-83.1766,Canada,834
Kugluktuk,67.7987,-115.1254,Canada,1302
Norman Wells,65.2837,-126.85,Canada,1027
Fort Resolution,61.1666,-113.683,Canada,448
Fort McPherson,67.4915,-134.895,Canada,1069
Forteau,51.4504,-56.95,Canada,448
Kuujjuaq,58.1,-68.4,Canada,1273
Cape Dorset,64.3125,-76.5386,Canada,1326
Cartwright,53.7014,-57.0121,Canada,505
Flin Flon,54.7666,-101.8833,Canada,6393
Holman,70.7334,-117.75,Canada,500
Pembroke,45.8503,-77.1166,Canada,15551
Baker Lake,64.317,-96.0167,Canada,1584
Moosonee,51.2806,-80.658,Canada,1725
Dryden,49.7833,-92.8333,Canada,7862
Corner Brook,48.95,-57.9333,Canada,20791
Kelowna,49.9,-119.4833,Canada,125109
Fort Smith,60,-111.8833,Canada,518
Fort Severn,55.9833,-87.65,Canada,125
Mont-Laurier,46.5504,-75.5,Canada,11642
Channel-Port aux Basques,47.567,-59.15,Canada,4220
Kindersley,51.467,-109.1333,Canada,4383
Igloolik,69.2565,-81.7936,Canada,1612
Hudson Bay,52.8504,-102.3833,Canada,2157
Courtenay,49.6833,-125,Canada,32793
Mistassini,50.4171,-73.8666,Canada,2645
Kingston,44.2337,-76.4833,Canada,114195
Eastmain,52.2333,-78.5167,Canada,335
Baie-Comeau,49.2227,-68.158,Canada,10435
North Bay,46.3,-79.45,Canada,50170
North Battleford,52.7666,-108.2833,Canada,19440
Grise Fiord,76.4417,-82.95,Canada,23
Hay River,60.85,-115.7,Canada,3900
Stony Rapids,59.2666,-105.8333,Canada,152
Hinton,53.4,-117.5834,Canada,10265
Toronto,43.7,-79.42,Canada,5213000
Edmonton,53.55,-113.5,Canada,1058000
Gjoa Haven,68.6333,-95.9167,Canada,1109
Fort Simpson,61.85,-121.3333,Canada,283
Naujaat,66.5295,-86.2829,Canada,1000
Lethbridge,49.7005,-112.8333,Canada,70617
Sudbury,46.5,-80.9666,Canada,157857
Swift Current,50.2837,-107.7666,Canada,14906
Regina,50.45,-104.617,Canada,176183
Cornwall,45.0171,-74.7333,Canada,48821
Taloyoak,69.5333,-93.5333,Canada,774
Tuktoyaktuk,69.4548,-133.0492,Canada,929
Deer Lake,52.617,-94.0666,Canada,3743
London,42.97,-81.25,Canada,346765
Natashquan,50.1913,-61.8107,Canada,722
Cap-Chat,49.1,-66.6833,Canada,1484
Orillia,44.6,-79.4167,Canada,37483
Kenora,49.7667,-94.4666,Canada,10852
Barrie,44.3838,-79.7,Canada,182041
Sherbrooke,45.4,-71.9,Canada,139652
St. Anthony,51.3837,-55.6,Canada,224
Rigolet,54.1766,-58.4473,Canada,124
Fort Good Hope,66.2666,-128.6333,Canada,597
La Scie,49.967,-55.583,Canada,817
Fort St. John,56.25,-120.8333,Canada,18776
Marathon,48.7504,-86.3667,Canada,4627
Gaspé,48.8373,-64.4934,Canada,3677
Nelson House,55.8005,-98.85,Canada,2500
Lillooet,50.6837,-121.9333,Canada,2893
Fort McMurray,56.7333,-111.3833,Canada,21863
Jasper,52.8833,-118.0834,Canada,3907
Buchans,48.817,-56.8666,Canada,685
Stettler,52.333,-112.6833,Canada,5494
La Ronge,55.1,-105.3,Canada,3783
Brochet,57.8832,-101.6666,Canada,278
Baddeck,46.1,-60.754,Canada,852
Pond Inlet,72.685,-78.0001,Canada,1549
